City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Ancud,CL,-41.8697,-73.8203,84.2,30,0,9.22,clear sky
218,Marawi,PH,7.9986,124.2928,73.0,92,92,5.99,overcast clouds
219,Ostrovnoy,RU,68.0531,39.5131,11.73,92,100,12.73,overcast clouds
220,Lewiston,US,44.1003,-70.2148,33.8,93,90,5.75,snow
221,Coquimbo,CL,-29.9533,-71.3436,66.2,72,20,13.8,few clouds
222,Port Alfred,ZA,-33.5906,26.891,69.01,94,100,3.0,overcast clouds
223,Tambopata,PE,-12.7333,-69.1833,89.6,62,40,4.61,scattered clouds
224,Mugur-Aksy,RU,50.35,90.5,5.29,84,96,4.54,overcast clouds
225,Namibe,AO,-15.1961,12.1522,72.48,77,73,6.85,broken clouds
226,Lavrentiya,RU,65.5833,-171.0,2.28,92,100,16.31,snow
227,Clyde River,CA,70.4692,-68.5914,-16.6,76,75,12.66,broken clouds
228,Dingle,PH,10.9995,122.6711,74.73,90,100,6.53,light rain
229,Cayenne,GF,4.9333,-52.3333,80.6,83,90,10.36,overcast clouds
230,Vao,NC,-22.6667,167.4833,77.54,86,0,14.16,clear sky
231,Tura,IN,25.5198,90.2201,62.67,44,0,3.33,clear sky
232,Vestmannaeyjar,IS,63.4427,-20.2734,35.6,87,20,24.16,few clouds
233,Nacala,MZ,-14.5428,40.6728,79.56,85,100,4.05,overcast clouds
234,Anito,PH,12.4497,125.2886,77.56,89,35,9.51,scattered clouds
235,Dalvik,IS,65.9702,-18.5286,26.6,68,0,5.75,clear sky
236,La Rioja,ES,42.25,-2.5,51.8,82,40,5.75,scattered clouds
237,Kirakira,SB,-10.4544,161.9205,79.32,82,30,8.25,moderate rain
238,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.32,81,92,4.74,overcast clouds
239,Batemans Bay,AU,-35.7167,150.1833,71.01,91,100,14.0,light rain
240,Shibetsu,JP,43.659,145.132,17.64,89,100,8.79,light snow
241,Pevek,RU,69.7008,170.3133,-15.54,86,100,1.61,overcast clouds
242,Yeppoon,AU,-23.1333,150.7333,71.6,83,65,2.1,moderate rain
243,Guadalajara,MX,20.6667,-103.3333,82.4,12,1,4.41,clear sky
244,Port Lincoln,AU,-34.7333,135.8667,63.05,78,84,20.47,broken clouds
245,Tigil,RU,57.8,158.6667,-7.83,88,68,3.15,broken clouds
246,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.71,66,0,13.06,clear sky
247,Wewak,PG,-3.5534,143.6268,77.68,84,100,2.75,overcast clouds
248,Lluta,PE,-16.0147,-72.0142,68.0,37,40,12.66,scattered clouds
249,Rocky Mountain House,CA,52.3668,-114.9188,-0.4,78,100,3.44,light snow
250,Lagunillas,VE,10.1301,-71.2595,87.85,62,100,10.63,overcast clouds
251,Palmas Bellas,PA,9.2319,-80.0867,89.01,64,96,5.01,overcast clouds
252,Wajima,JP,37.4,136.9,48.85,72,100,24.32,overcast clouds
253,Honningsvag,NO,70.9821,25.9704,32.0,80,75,28.77,light snow
254,Saint-Philippe,RE,-21.3585,55.7679,80.6,61,20,4.61,few clouds
255,San Quintin,MX,30.4833,-115.95,61.0,62,0,7.0,clear sky
256,Roebourne,AU,-20.7833,117.1333,80.35,77,30,9.1,scattered clouds
257,Simao,CN,22.7886,100.9748,53.28,83,0,1.45,clear sky
258,Yankton,US,42.8711,-97.3973,19.4,63,1,20.71,clear sky
259,Lahat,ID,-3.8,103.5333,74.37,91,100,2.55,overcast clouds
260,Semirom,IR,31.4167,51.5667,39.02,71,31,6.29,scattered clouds
261,Provideniya,RU,64.3833,-173.3,6.6,90,100,17.74,overcast clouds
262,Ishigaki,JP,24.3448,124.1572,69.33,59,68,6.87,broken clouds
263,Boyolangu,ID,-8.1181,111.8935,74.68,91,76,4.74,broken clouds
264,Ransang,PH,8.9603,117.5828,78.53,79,100,5.7,overcast clouds
265,Kampene,CD,-3.6,26.6667,71.98,91,100,1.14,light rain
266,Mikhaylovskoye,RU,51.8239,79.7172,24.13,99,91,5.3,overcast clouds
267,Paracatu,BR,-17.2222,-46.8747,83.68,68,98,3.89,moderate rain
268,Geraldton,AU,-28.7667,114.6,62.6,94,90,11.5,moderate rain
269,Ibra,OM,22.6906,58.5334,56.19,68,0,1.43,clear sky
270,Provost,CA,52.3501,-110.2683,-11.2,77,100,5.75,overcast clouds
271,Kavieng,PG,-2.5744,150.7967,80.58,79,100,11.5,overcast clouds
272,Magadan,RU,59.5667,150.8,-4.79,83,96,14.38,overcast clouds
273,Bulgan,MN,48.8125,103.5347,4.96,93,100,3.29,overcast clouds
274,Nanortalik,GL,60.1432,-45.2371,21.04,76,0,2.28,clear sky
275,Narsaq,GL,60.9167,-46.05,21.2,35,1,3.85,clear sky
276,Pochutla,MX,15.7432,-96.4661,82.0,74,75,12.66,broken clouds
277,Walvis Bay,NA,-22.9575,14.5053,64.99,82,88,6.91,overcast clouds
278,Abonnema,NG,4.7084,6.7931,84.2,79,20,9.22,few clouds
279,Qorveh,IR,35.1664,47.8045,38.48,87,100,16.33,overcast clouds
280,Vilyuysk,RU,63.7553,121.6247,-42.57,79,0,4.29,clear sky
281,Russell,US,32.3502,-85.1999,57.2,38,20,11.5,few clouds
282,Hay River,CA,60.8156,-115.7999,-25.6,68,100,12.66,overcast clouds
283,Padang,ID,-0.9492,100.3543,75.2,94,90,2.3,overcast clouds
284,Acarau,BR,-2.8856,-40.12,84.69,58,7,17.11,clear sky
